GCF_000196515.1	Nostoc azollae 0708
GCF_018305005.1	Collimonas silvisoli
GCF_012844445.1	Collinsella acetigenes
GCF_010509075.1	Collinsella aerofaciens ATCC 25986
GCF_900155365.1	Collinsella bouchesdurhonensis
GCF_030385545.1	Collinsella ihumii
GCF_902501455.1	Collinsella intestinalis
GCF_900119895.1	Collinsella phocaeensis
GCF_900199705.1	Collinsella provencensis
GCF_025149625.1	Collinsella stercoris
GCF_000225705.1	Collinsella tanakaei YIT 12063
GCF_019795105.1	Collinsella ureilytica
GCF_900176655.1	Collinsella vaginalis
GCF_039523295.1	Colwellia asteriadis
GCF_002104455.1	Colwellia chukchiensis
GCF_007954275.1	Colwellia demingiae
GCF_002843355.2	Colwellia echini
GCF_007954355.1	Colwellia hornerae
GCF_002207865.1	Colwellia marinimaniae
GCF_022669015.1	Colwellia maritima
GCF_000378625.1	Colwellia piezophila ATCC BAA-637
GCF_002104515.1	Colwellia polaris
GCF_005885605.1	Colwellia ponticola
GCF_000012325.1	Colwellia psychrerythraea 34H
GCF_013363755.1	Comamonas antarctica
GCF_018064205.1	Comamonas aquatica
GCF_014836675.1	Comamonas avium
GCF_000484635.1	Comamonas badia DSM 17552
GCF_000429845.1	Comamonas composti DSM 21721
GCF_017368815.1	Comamonas denitrificans
GCF_023634805.2	Comamonas endophytica
GCF_039538025.1	Comamonas faecalis
GCF_007954405.1	Comamonas flocculans
GCF_019186805.1	Comamonas fluminis
GCF_000739995.1	Comamonas granuli NBRC 101663
GCF_041079535.1	Comamonas guangdongensis
GCF_030162955.1	Comamonas jiangduensis
GCF_002056725.1	Comamonas kerstersii
GCF_021026195.1	Comamonas koreensis
GCF_042654765.1	Comamonas nitrativorans
GCF_020080045.1	Comamonas odontotermitis
GCF_014109725.1	Comamonas piscis
GCF_030064165.1	Comamonas resistens
GCF_041107495.1	Comamonas sediminis
GCF_002158865.1	Comamonas serinivorans
GCF_012844455.2	Comamonas suwonensis
GCF_001544075.1	Comamonas terrae
GCF_006740045.1	Comamonas terrigena NBRC 13299
GCF_016599875.1	Comamonas testosteroni
GCF_020886175.1	Comamonas thiooxydans
GCF_947179105.1	Commensalibacter communis
GCF_000231445.1	Commensalibacter intestini A911
GCF_003691365.1	Commensalibacter melissae
GCF_029953305.1	Commensalibacter nepenthis
GCF_029953265.1	Commensalibacter oyaizuii
GCF_002849895.1	Companilactobacillus alimentarius DSM 20249
GCF_001971585.1	Companilactobacillus allii
GCF_003946605.1	Companilactobacillus baiquanensis
GCF_002179915.1	Companilactobacillus bobalius
GCF_001951175.1	Companilactobacillus crustorum
GCF_002706745.1	Companilactobacillus farciminis KCTC 3681 = DSM 20184
GCF_003573535.1	Companilactobacillus formosensis
GCF_003946325.1	Companilactobacillus furfuricola
GCF_006007945.1	Companilactobacillus futsaii
GCF_001050475.1	Companilactobacillus ginsenosidimutans
GCF_009600995.1	Companilactobacillus halodurans
GCF_000831645.3	Companilactobacillus heilongjiangensis
GCF_005404815.1	Companilactobacillus huachuanensis
GCF_003946555.1	Companilactobacillus hulinensis
GCF_003946015.1	Companilactobacillus insicii
GCF_003946575.1	Companilactobacillus jidongensis
GCF_003946625.1	Companilactobacillus kedongensis
GCF_003946205.1	Companilactobacillus keshanensis
GCF_001438805.1	Companilactobacillus kimchiensis
GCF_001435445.1	Companilactobacillus kimchii DSM 13961 = JCM 10707
GCF_004117915.1	Companilactobacillus metriopterae
GCF_007992055.1	Companilactobacillus mindensis
GCF_003946505.1	Companilactobacillus mishanensis
GCF_036246245.1	Companilactobacillus muriivasis
GCF_040688005.1	Companilactobacillus musae
GCF_007991935.1	Companilactobacillus nantensis
GCF_001592065.1	Companilactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160
GCF_002872255.1	Companilactobacillus nuruki
GCF_014058425.1	Companilactobacillus pabuli
GCF_963227125.1	Companilactobacillus paralimentarius
GCF_004745525.1	Companilactobacillus suantsaicola
GCF_001434665.1	Companilactobacillus tucceti DSM 20183
GCF_001434295.1	Companilactobacillus versmoldensis DSM 14857 = KCTC 3814
GCF_003606365.2	Companilactobacillus zhachilii
GCF_003946515.1	Companilactobacillus zhongbaensis
GCF_014637175.1	Compostibacillus humi
GCF_039541075.1	Compostibacter hankyongensis
GCF_002797855.1	Compostimonas suwonensis
GCF_022871025.1	Conchiformibius kuhniae
GCF_014054725.1	Conchiformibius steedae
GCF_014199525.1	Conexibacter arvalis
GCF_033542075.1	Conexibacter stalactiti
GCF_000025265.1	Conexibacter woesei DSM 14684
GCF_002807055.1	Confluentibacter citreus
GCF_002843175.1	Confluentibacter flavum
GCF_002806995.1	Confluentibacter lentus
GCF_003258355.1	Confluentibacter sediminis
GCF_045689245.1	Congregibacter brevis
GCF_000153125.2	Congregibacter litoralis KT71
GCF_045689235.1	Congregibacter variabilis
GCF_014384785.1	Congzhengia minquanensis
GCF_002795425.1	Conservatibacter flavescens
GCF_900167365.1	Consotaella salsifontis
GCF_014295415.1	Constantimarinum furrinae
GCF_003096575.1	Convivina intestini
GCF_933208495.1	Convivina praedatoris
GCF_014204935.1	Conyzicola lurida
GCF_014639655.1	Conyzicola nivalis
GCF_009831105.1	Copranaerobaculum intestinale
GCF_000269565.1	Coprobacillus cateniformis
GCF_030296935.1	Coprobacter fastidiosus
GCF_015097275.1	Coprobacter secundus subsp. similis
GCF_024330105.1	Coprobacter tertius
GCF_025567285.1	Coprococcus aceti
GCF_025567345.1	Coprococcus ammoniilyticus
GCF_019734885.1	Coprococcus catus
GCF_025149785.1	Coprococcus comes ATCC 27758
GCF_025149915.1	Coprococcus eutactus
GCF_040096555.1	Coprococcus intestinihominis
GCF_900104635.1	Coprococcus phoceensis
GCF_000378005.1	Coprothermobacter platensis DSM 11748
GCF_000020945.1	Coprothermobacter proteolyticus DSM 5265
GCF_000025905.1	Coraliomargarita akajimensis DSM 45221
GCF_033878955.1	Coraliomargarita algicola
GCF_027257905.1	Coraliomargarita parva
GCF_003185655.1	Coraliomargarita sinensis
GCF_039537875.1	Corallibacter vietnamensis
GCF_003336225.1	Corallincola holothuriorum
GCF_004336975.1	Corallincola luteus
GCF_039544265.1	Corallincola platygyrae
GCF_004284785.1	Corallincola spongiicola
GCF_030845175.1	Coralliovum pocilloporae
GCF_003612165.1	Corallococcus aberystwythensis
GCF_036245865.1	Corallococcus caeni
GCF_003611695.1	Corallococcus carmarthensis
GCF_000255295.1	Corallococcus coralloides DSM 2259
GCF_003611585.1	Corallococcus exercitus
GCF_017302975.1	Corallococcus exiguus
GCF_003668875.1	Corallococcus interemptor
GCF_003612055.1	Corallococcus llansteffanensis
GCF_002305895.1	Corallococcus macrosporus DSM 14697
GCF_003612125.1	Corallococcus praedator
GCF_003611735.1	Corallococcus sicarius
GCF_009909145.1	Corallococcus silvisoli
GCF_014930455.1	Corallococcus soli
GCF_003611635.1	Corallococcus terminator
GCF_018122625.2	Coralloluteibacterium stylophorae
GCF_042654365.1	Coralloluteibacterium thermophilus
GCF_000195315.1	Coriobacterium glomerans PW2
GCF_003703815.1	Corticibacter populi
GCF_042686195.1	Corticicoccus populi
GCF_003123725.1	Corticimicrobacter populi
GCF_023520795.1	Corynebacterium accolens
GCF_030408375.1	Corynebacterium afermentans subsp. lipophilum
GCF_003716585.1	Corynebacterium alimapuense
GCF_001941425.1	Corynebacterium ammoniagenes DSM 20306
GCF_016889425.1	Corynebacterium amycolatum
GCF_014262665.1	Corynebacterium anserum
GCF_016595285.2	Corynebacterium antarcticum
GCF_030408415.1	Corynebacterium appendicis CIP 107643
GCF_030408395.1	Corynebacterium aquatimens
GCF_001941445.1	Corynebacterium aquilae DSM 44791
GCF_000590555.1	Corynebacterium argentoratense DSM 44202
GCF_030408455.1	Corynebacterium atrinae
GCF_000732945.1	Corynebacterium atypicum
GCF_000022905.1	Corynebacterium aurimucosum ATCC 700975
GCF_030408575.1	Corynebacterium auris
GCF_030408435.1	Corynebacterium auriscanis
GCF_041898185.1	Corynebacterium belfantii
GCF_900078305.2	Corynebacterium bouchesdurhonense
GCF_003932295.1	Corynebacterium bovis
GCF_030252165.1	Corynebacterium breve
GCF_000344785.1	Corynebacterium callunae DSM 20147
GCF_000980815.1	Corynebacterium camporealensis
GCF_030408595.1	Corynebacterium canis
GCF_030440535.1	Corynebacterium capitovis DSM 44611
GCF_000550785.1	Corynebacterium casei LMG S-19264
GCF_030440555.1	Corynebacterium caspium DSM 44850
GCF_003813965.1	Corynebacterium choanae
GCF_030440575.1	Corynebacterium ciconiae DSM 44920
GCF_009734405.1	Corynebacterium comes
GCF_030408715.1	Corynebacterium confusum
GCF_019048165.1	Corynebacterium coyleae
GCF_001643015.1	Corynebacterium crudilactis
GCF_027570035.1	Corynebacterium curieae
GCF_900187295.1	Corynebacterium cystitidis
GCF_900232865.1	Corynebacterium dentalis
GCF_001277995.1	Corynebacterium deserti GIMN1.010
GCF_001457455.1	Corynebacterium diphtheriae
GCF_000767055.1	Corynebacterium doosanense CAU 212 = DSM 45436
GCF_030408675.1	Corynebacterium durum
GCF_000011305.1	Corynebacterium efficiens YS-314
GCF_004795735.1	Corynebacterium endometrii
GCF_001021025.1	Corynebacterium epidermidicanis
GCF_027570065.1	Corynebacterium evansiae
GCF_030408735.1	Corynebacterium faecale
GCF_027257105.1	Corynebacterium faecium
GCF_020099275.1	Corynebacterium falsenii
GCF_030408755.1	Corynebacterium felinum
GCF_001941465.1	Corynebacterium flavescens
GCF_030408775.1	Corynebacterium fournieri
GCF_001941485.1	Corynebacterium frankenforstense DSM 45800
GCF_030408815.1	Corynebacterium freiburgense
GCF_019047805.1	Corynebacterium freneyi
GCF_014837045.1	Corynebacterium gallinarum
GCF_024453835.1	Corynebacterium genitalium ATCC 33030
GCF_003813985.1	Corynebacterium gerontici
GCF_030408855.1	Corynebacterium glaucum
GCF_030440595.1	Corynebacterium glucuronolyticum DSM 44120
GCF_000011325.1	Corynebacterium glutamicum ATCC 13032
GCF_000626675.1	Corynebacterium glyciniphilum AJ 3170
GCF_007559235.1	Corynebacterium godavarianum
GCF_030408875.1	Corynebacterium gottingense
GCF_030408915.1	Corynebacterium guangdongense
GCF_009707995.1	Corynebacterium guaraldiae
GCF_002285125.1	Corynebacterium hadale
GCF_013978595.1	Corynebacterium haemomassiliense
GCF_000341345.1	Corynebacterium halotolerans YIM 70093 = DSM 44683
GCF_030408795.1	Corynebacterium hansenii
GCF_028609845.1	Corynebacterium heidelbergense
GCF_037850265.1	Corynebacterium hesseae
GCF_014117265.1	Corynebacterium hindlerae
GCF_009708045.1	Corynebacterium hiratae
GCF_001571025.1	Corynebacterium humireducens NBRC 106098 = DSM 45392
GCF_003955685.1	Corynebacterium hylobatis
GCF_028609825.1	Corynebacterium ihumii
GCF_900187215.1	Corynebacterium imitans
GCF_014217255.1	Corynebacterium incognita
GCF_023574125.1	Corynebacterium intestinale
GCF_028609865.1	Corynebacterium jeddahense
GCF_028609885.1	Corynebacterium jeikeium
GCF_022869005.1	Corynebacterium kalidii
GCF_009734385.1	Corynebacterium kalinowskii
GCF_016599755.1	Corynebacterium kefirresidentii
GCF_000023145.1	Corynebacterium kroppenstedtii DSM 44385
GCF_000980835.1	Corynebacterium kutscheri
GCF_001274895.1	Corynebacterium lactis RW2-5
GCF_027570055.1	Corynebacterium lehmanniae
GCF_024919295.1	Corynebacterium lemuris
GCF_003070865.1	Corynebacterium liangguodongii
GCF_000159635.1	Corynebacterium lipophiloflavum DSM 44291
GCF_024102595.1	Corynebacterium lipophilum
GCF_011038655.2	Corynebacterium lizhenjunii
GCF_001412085.1	Corynebacterium lowii
GCF_000379425.1	Corynebacterium lubricantis DSM 45231
GCF_014490555.1	Corynebacterium lujinxingii
GCF_027570165.1	Corynebacterium macclintockiae
GCF_016889465.1	Corynebacterium macginleyi
GCF_016342275.1	Corynebacterium marambiense
GCF_000835165.1	Corynebacterium marinum DSM 44953
GCF_000442645.1	Corynebacterium maris DSM 45190
GCF_030229635.1	Corynebacterium marquesiae
GCF_028609805.1	Corynebacterium massiliense DSM 45435
GCF_000375365.1	Corynebacterium mastitidis DSM 44356
GCF_000175375.1	Corynebacterium matruchotii ATCC 14266
GCF_008930985.1	Corynebacterium megadyptis subsp. dunedinense
GCF_027570075.1	Corynebacterium meitnerae
GCF_017307055.1	Corynebacterium mendelii
GCF_016342265.1	Corynebacterium meridianum
GCF_900478045.1	Corynebacterium minutissimum
GCF_012396315.1	Corynebacterium mucifaciens
GCF_001020985.1	Corynebacterium mustelae
GCF_900103625.1	Corynebacterium mycetoides
GCF_042658165.1	Corynebacterium nasicanis
GCF_900626215.1	Corynebacterium neomassiliense
GCF_007970465.1	Corynebacterium nuruki S6-4
GCF_009734425.1	Corynebacterium occultum
GCF_001412105.1	Corynebacterium oculi
GCF_000296405.1	Corynebacterium otitidis ATCC 51513
GCF_900169525.1	Corynebacterium pacaense
GCF_019754935.1	Corynebacterium parakroppenstedtii
GCF_004114895.1	Corynebacterium pelargi
GCF_001941565.1	Corynebacterium phocae
GCF_900092335.1	Corynebacterium phoceense
GCF_026930265.1	Corynebacterium pilbarense
GCF_900447205.1	Corynebacterium pilosum
GCF_900177745.1	Corynebacterium pollutisoli
GCF_014522205.1	Corynebacterium poyangense
GCF_016728665.1	Corynebacterium propinquum
GCF_022641305.1	Corynebacterium provencense
GCF_000688415.1	Corynebacterium pseudodiphtheriticum DSM 44287
GCF_024453815.1	Corynebacterium pseudogenitalium
GCF_030217185.1	Corynebacterium pseudokroppenstedtii
GCF_003814005.1	Corynebacterium pseudopelargi
GCF_002155265.1	Corynebacterium pseudotuberculosis
GCF_016595275.2	Corynebacterium pygosceleis
GCF_000411375.1	Corynebacterium pyruviciproducens ATCC BAA-1742
GCF_011038645.2	Corynebacterium qintianiae
GCF_000767685.1	Corynebacterium ramonii FRC0011
GCF_900478035.1	Corynebacterium renale
GCF_000177535.2	Corynebacterium resistens DSM 45100
GCF_001263755.1	Corynebacterium riegelii
GCF_902702935.1	Corynebacterium rouxii
GCF_007641235.1	Corynebacterium sanguinis
GCF_900411315.1	Corynebacterium senegalense
GCF_002162115.2	Corynebacterium silvaticum
GCF_001586235.1	Corynebacterium simulans
GCF_000833575.1	Corynebacterium singulare
GCF_001941505.1	Corynebacterium sphenisci DSM 44792
GCF_900113445.1	Corynebacterium spheniscorum
GCF_000427865.1	Corynebacterium sputi DSM 45148
GCF_001941345.1	Corynebacterium stationis
GCF_024160105.1	Corynebacterium stercoris
GCF_016728105.1	Corynebacterium striatum
GCF_030252185.1	Corynebacterium suedekumii
GCF_031454255.1	Corynebacterium suicordis
GCF_002355155.1	Corynebacterium suranareeae
GCF_006334925.1	Corynebacterium tapiri
GCF_000418365.1	Corynebacterium terpenotabidum Y-11
GCF_001021045.1	Corynebacterium testudinoris
GCF_000312345.1	Corynebacterium timonense 5401744
GCF_016728365.1	Corynebacterium tuberculostearicum
GCF_000759055.1	Corynebacterium tuscaniense DNF00037
GCF_020616335.1	Corynebacterium uberis
GCF_000215645.1	Corynebacterium ulcerans 809
GCF_000372445.1	Corynebacterium ulceribovis DSM 45146
GCF_900187235.1	Corynebacterium urealyticum
GCF_000747315.1	Corynebacterium ureicelerivorans
GCF_900155535.1	Corynebacterium urinipleomorphum
GCF_009026825.1	Corynebacterium urogenitale
GCF_021568315.1	Corynebacterium uropygiale
GCF_001021065.1	Corynebacterium uterequi
GCF_006539825.1	Corynebacterium variabile
GCF_000550805.1	Corynebacterium vitaeruminis DSM 20294
GCF_013601005.1	Corynebacterium wankanglinii
GCF_001552415.1	Corynebacterium xerosis NBRC 16721 = ATCC 373
GCF_027570195.1	Corynebacterium yonathiae
GCF_003065405.1	Corynebacterium yudongzhengii
GCF_014490575.1	Corynebacterium zhongnanshanii
GCF_013402795.1	Costertonia aggregata
GCF_003751945.1	Couchioplanes caeruleus
GCF_000007765.2	Coxiella burnetii RSA 493
GCF_000815025.1	Coxiella endosymbiont_of_Amblyomma americanum
GCF_018107685.1	Coxiella endosymbiont_of_Amblyomma nuttalli
GCF_009883795.1	Coxiella endosymbiont_of_Amblyomma sculptum
GCF_907164955.1	Coxiella endosymbiont_of_Dermacentor marginatus
GCF_019425495.1	Coxiella endosymbiont_of_Ornithodoros amblus
GCF_907164965.1	Coxiella endosymbiont_of_Ornithodoros maritimus
GCF_002930125.1	Coxiella endosymbiont_of_Rhipicephalus microplus
GCF_002871095.1	Coxiella-like endosymbiont
GCF_002850495.1	Coxiella-like endosymbiont_of_Amblyomma americanum
GCF_018687865.1	Coxiella-like endosymbiont_of_Rhipicephalus sanguineus
GCF_019203185.1	Crassaminicella indica
GCF_019884785.1	Crassaminicella profunda
GCF_008152325.1	Crassaminicella thermophila
GCF_007752935.1	Crateriforma conspicua
GCF_012290005.1	Crateriforma spongiae
GCF_009831765.1	Craterilacuibacter sinensis
GCF_039523795.1	Craurococcus roseus
GCF_004761865.1	Crenalkalicoccus roseus
GCF_010435965.1	Crenobacter caeni
GCF_003355495.1	Crenobacter cavernae
GCF_004919095.1	Crenobacter intestini
GCF_001619695.1	Crenobacter luteus
GCF_030385785.1	Crenobacter oryzisoli
GCF_900163755.1	Crenothrix polyspora
GCF_000750955.1	Criblamydia sequanensis CRIB-18
GCF_900109035.1	Cribrihabitans marinus
GCF_004340985.1	Cricetibacter osteomyelitidis
GCF_001693775.2	Criibacterium bergeronii
GCF_000317495.1	Crinalium epipsammum PCC 9333
GCF_000196315.1	Croceibacter atlanticus HTCC2559
GCF_030657335.1	Croceibacterium aestuarii
GCF_001008165.2	Croceibacterium atlanticum
GCF_003660445.1	Croceibacterium ferulae
GCF_000802385.1	Croceibacterium mercuriale
GCF_009827435.1	Croceibacterium salegens
GCF_018599195.1	Croceibacterium selenioxidans
GCF_009828065.1	Croceibacterium soli
GCF_009827305.1	Croceibacterium xixiisoli
GCF_001634625.1	Croceicoccus bisphenolivorans
GCF_031846435.1	Croceicoccus esteveae
GCF_001625325.1	Croceicoccus estronivorus
GCF_018398395.1	Croceicoccus gelatinilyticus
GCF_022378335.1	Croceicoccus hydrothermalis
GCF_014211955.1	Croceicoccus marinus
GCF_001661965.1	Croceicoccus mobilis
GCF_001028705.1	Croceicoccus naphthovorans
GCF_001661915.1	Croceicoccus pelagius
GCF_004004515.1	Croceicoccus ponticola
GCF_007570835.1	Croceicoccus sediminis
GCF_030814315.1	Croceifilum oryzae
GCF_014524565.1	Croceimicrobium hydrocarbonivorans
GCF_001306415.1	Croceitalea dokdonensis DOKDO 023
GCF_042684265.1	Croceitalea marina
GCF_031846445.1	Croceitalea rosinachiae
GCF_031846405.1	Croceitalea vernalis
GCF_014235875.1	Croceivirga lutea
GCF_002072105.2	Croceivirga radicis
GCF_012272815.1	Croceivirga thetidis
GCF_001661595.2	Crocinitomix algicola
GCF_000621625.1	Crocinitomix catalasitica ATCC 23190
GCF_000169335.1	Crocosphaera chwakensis CCY0110
GCF_000017845.1	Crocosphaera subtropica ATCC 51142
GCF_000235665.1	Crocosphaera watsonii WH 0003
GCF_001277255.1	Cronobacter condimenti 1330
GCF_001277235.1	Cronobacter dublinensis subsp. dublinensis LMG 23823
GCF_001277215.2	Cronobacter malonaticus LMG 23826
GCF_001277195.1	Cronobacter muytjensii ATCC 51329
GCF_003516125.1	Cronobacter sakazakii
GCF_041222865.1	Cronobacter turicensis
GCF_001277175.1	Cronobacter universalis NCTC 9529
GCF_014204915.1	Crossiella cryophila
GCF_017876755.1	Crossiella equi
GCF_014961145.1	Cruoricaptor ignavus
GCF_004402695.1	Cryobacterium adonitolivorans
GCF_004402485.1	Cryobacterium algoricola
GCF_004402785.1	Cryobacterium algoritolerans
GCF_003185895.1	Cryobacterium arcticum
GCF_002954245.1	Cryobacterium aureum
GCF_004402375.1	Cryobacterium breve
GCF_004403395.1	Cryobacterium cheniae
GCF_004403065.1	Cryobacterium cryoconiti
GCF_004402625.1	Cryobacterium flavum
GCF_004403305.1	Cryobacterium frigoriphilum
GCF_004403515.1	Cryobacterium fucosi
GCF_004403985.1	Cryobacterium gelidum
GCF_004402535.1	Cryobacterium glaciale
GCF_004402235.1	Cryobacterium glucosi
GCF_004403945.1	Cryobacterium lactosi
GCF_007992355.1	Cryobacterium levicorallinum
GCF_004402515.1	Cryobacterium luteum
GCF_004403345.1	Cryobacterium lyxosi
GCF_004402705.1	Cryobacterium mannosilyticum
GCF_003602235.1	Cryobacterium melibiosiphilum
GCF_004365915.1	Cryobacterium psychrophilum
GCF_004564325.1	Cryobacterium psychrotolerans
GCF_014200405.1	Cryobacterium roopkundense
GCF_004404055.1	Cryobacterium ruanii
GCF_004403415.1	Cryobacterium sandaracinum
GCF_004404025.1	Cryobacterium serini
GCF_004402595.1	Cryobacterium shii
GCF_004403465.1	Cryobacterium sinapicolor
GCF_003611035.1	Cryobacterium soli
GCF_004403185.1	Cryobacterium suzukii
GCF_004402215.1	Cryobacterium tagatosivorans
GCF_003716325.1	Cryobacterium tepidiphilum
GCF_022760445.1	Cryobacterium zhongshanensis
GCF_002909375.1	Cryobacterium zongtaii
GCF_010686655.1	Cryomorpha ignava
GCF_000023845.1	Cryptobacterium curtum DSM 15641
GCF_000585375.1	Cryptosporangium arvum DSM 44712
